Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comment,sentiment
33,33,33,politik balas budi dan balas dendam selalu mendampingi menyertai dan mengiringi dalam setiap aktivitas dan moment politik yang tak bisa dilarang dalam bentuk peraturan dan perundangan karena ini adalah sesuatu yg tidak berwujud materi  untuk menghindarinya tergantung pada figur pemimpin cerdas dan tegas serta  berintegritas dan cerdas spiritualnya,netral
34,34,34,betul asn saja aturannya tdk boleh dukung mendukung apalagi seorang kepala negara dan wakilnya lebih haram hukumnya dukung mendukung calon kepala daerah kepala negara dan wakilinya harus memang netral krn mereka adalah pemimpin seluruh rakyat bukan lagi sebagai pemimpin kelompok semoga pk prabowo dan wakilnya bisa menyadari ini,netral
35,35,35,mmg pinter jokowi menjebak rkatau rk terpaksa harus ikut kemauan jokowi,netral
36,36,36,wahay  warga indonesia dengar tontonn  percakasn ini bula  pikitan kita  msna yg benar mzna i yg busuk,netral
37,37,37,rakyat harus sadar kl jokowi cawe2  itu bukan menciptakan lapangan pekerjaan bukan untuk rakyat tp jokowi  cuma memcarikan pekerjaan untuk anak2nya dan menantunya kalian hanya di manpaatkan sm jokowi aja sadarrrakyat indonesia,netral
38,38,38,kasian pks di bohongi oleh jokowi kasian deh pks msh aja mau dengerin rayuan pembohong mulyono,netral
39,39,39,mulyonobdi uppercut anies,netral
40,40,40,dosa besar apa yg dipegang anieshingga jokowi mati matian jegal anies,netral
41,41,41,biar alus tp tetep terliat nyata keren,netral
42,42,42,siapa saja yang ikutan mantan pemimpin syndrom jabatan  stress maka yang ikutan stress nya lebih parah,netral
43,43,43,wercok  wereng coklat harus dikembalikan menjadi sub ordinat tni ,netral
44,44,44,didalam panggung politik indonesia saat ini anies adalah tokoh protagonis nya prabowo juga protagonis yang sedang salah kubu jokowi sudah jelas antagonis nya megawati bisa dibilang tritagonis lainnya figuran ,netral
45,45,45,wah tempo  pemuja anis,netral
46,46,46,bang doel anies next presiden  biar makin panas ,netral
47,47,47,trrimaksih tempo semoggarakyat semakincerdas,netral
48,48,48,dari sekian lama media tempo sy kira mereka hanya kerjaanya menjatuhkan pemerintahternyata di tahun2 akhir lengser mulyono smua manjadi terkuak atas kebenaran yg di paparkan tempo selama ini,netral
49,49,49,adili jokowi mulyono makzulkan gibran asam sulfat,netral
50,50,50,musuh rakyat indonesia cuma ada 3 jokowi  circle parcok oligarki,netral
51,51,51,anak mulyono mending tonton bocor halus tempo biar pda pinter,netral
52,52,52,ngapai presiden ikutan kampanye ,netral
53,53,53,raja mulyono yang menciptakan parcok,netral
54,54,54,masih percaya pada kecurangan oknum  yang menggerakkan tangan  tangan oknum yang melakukan intimidasi kepada pemilih  bagi  bagi bungkusan  amplop mereka bakar duit di awal  mencekik setelah jadi  akhirnya rakyat jadi korban kebijakan penguasa  rakyat yang menderita video ini secara tidak langsung membongkar cara kecurangan mereka dalam berpolitik untuk mengalahkan anies  pelan  pelan terbuka sedikit demi sedikit  inilah kenyataannya politik kotor ,netral
55,55,55,makin mantab konten bocor alus ,netral
56,56,56,ini buka2an asli saya suka daripada di tv lain gak open,netral
57,57,57,suara mbak nya manis,netral
58,58,58,klu ekonomi memburuk rakyat sdh jenuh kemungkinan anies presiden2029,netral
59,59,59,pdip selama masih di pegang mbah uti maaf ya jawa tengah bukan kandang anda,netral
60,60,60,jakarta menyala,netral
61,61,61,lagi lagi polisi semakin hancur nama polisi ,netral
62,62,62,a,netral
63,63,63,thanks,positif
64,64,64,pak harto ajah 32 thn berkuasatumbang apa lg jokowi,netral
65,65,65,pak prabowotolong tunjukkan dirimujgn mau disetir sama mantanjgn keceeakan kami dong pak prabowo,netral
66,66,66,berkloborasi dg pdip hatihati dl sj prabowo pernah diprank ingat perjajian batutulis jd kl anis mengharapkn perahu di 2029 nnt,netral
67,67,67,nyekel kades banyak jadjnyapenting duit,netral
68,68,68,dan akhirnya di 27 november jokowi ko di jakarta,netral
69,69,69,bocor halus mantap,netral
70,70,70,mkulyono sebagai faktor pengurang di jakarta sebuah rangkaian kata yang sangat indah,netral
71,71,71,muliyono memang gk ada malu dia kira masyarakat jakarta mau memilih manusia yg di endorse nyaj,netral
72,72,72,busettttt bisa se detail itu yak jurnalis memang kuat ,netral
73,73,73,setuju dgn tempo,netral
74,74,74,aduhhhh  luar biasa kejahatan ini cara cara mencegal lawan politik   mohon rakyat menyadari ketamakan kerakusan untuk mempertahankan kekuasaan   rakyat indonesia bersatulah  mari kita selamatkan demokrasi indonesia,netral
75,75,75, m,netral
76,76,76,2029 pdip akn hancur krn ulah nya sendiri krn sampe skrg dpr yg di komandoi mbak puan maharani yg tdk berpihak pd rakyat dn sampe skrg blm mensahkan ruu perampasan aset bagi para koruptor yg tlh bxk sengsarakan rakyat,netral
77,77,77,p prabowo gk usah nuruti mulyono cawe cawe biar bapak jaga kewibawaan bapak sebagai pemimpin ini rakyat udah agak gk percaya pda bapak lo,netral
78,78,78,alhamdulillah  bila benar abah di 2029 di dukung pdip,netral
79,79,79,jakarta bukan lah orang jawa tengah yang selalu manut sana jokowi jakarta orang pintar,netral
80,80,80,ke depan jangan ada presiden ri yang levelnya dibawah prabowo sby sukarno hbibi  gisdur kita ingin presiden  yg tdk malu maluin di kancah internasional bukan hanya kelas pasar tradisional dan pencintraan di dalam negeri masuk gorong2,netral
81,81,81,uu pemilu harus dipertegas presiden tidak boleh kampanya karena presiden mengayomi seluruh rakyat kecuali petahana,netral
82,82,82,terlalu mengagungkan padahal itu cuma kebetulankelihatan sekali keberpihakan nya kepada seseorang yg rekam jejak nya sangat jelek,netral
83,83,83,di pulau jawa itu terlalu ramai ber mental sedekahsehinga pemimpin itu di kira rakyat jawa itu yg bagi bagi sembako,negatif
84,84,84,saya pendukung tegak lurus pdip yg siap dukung anis capres 2029 yg setuju,netral
85,85,85,ayo pdip majikan anis 2029,netral
86,86,86,di putaran ke 2 nantisuara 01 yg 404 akan disulap menjadi lebih 50 yaitu diambilkan suara dari 02 yg direkayasa dapat 106tapi suara 03 yg 4949 bisa bertambah diatas 50jika masanies memberikan instruksi ke anak abah yg sebelumnya memilih golput atau gercokuntuk memberikan suaranya kepada pramonorano,netral
87,87,87,bahas pilkada banten dong  kayanya seru,netral
88,88,88,purbalingga hadir ikut pak jokowi,netral
89,89,89,lunturnya raja jawa di ibukota yg dihempaskan ,netral
90,90,90,knp tempo kayak kebakaran jenggot  mau membela partai dinasti indonesia perjuangan itu ya,netral
91,91,91,mas pram  oke alhamdulillah,netral
92,92,92,saya seneng berita tempo dari dulu sampai sekarang udah jadi kake kake dulu koran,netral
93,93,93,partai coklat ,netral
94,94,94,tangkap pemilik akun fufufafa yg tdk bermoral itu,netral
95,95,95,ekspresi uncle hah 58,netral
96,96,96,mereka ini bahas opo seh,netral
97,97,97,kasihan lihat penduduk jawa tengah selalu mudah di bodohin si mulyono miris lihat penduduk jawa tengahdi kasih bansos tergirang girangnggak tau kalau bansos itu apa,netral
98,98,98,host ga netral,netral
99,99,99,panisok,netral
100,100,100,tim senyap   hasil perolehan suara andika yg senyap bocir alus perlu sinau lagi,netral
101,101,101,kacian tu mulyono gagal nipu di jakarta,netral
102,102,102,nyimak we ah menurut sy tanpa ad campur tangan pk jokowi engak ngaruh da solo kn terdiri dri beberapa wilayah pasti beda2 piihan ya kn,netral
103,103,103,jokowi malah ikut kampanye kok lutfi malah menang telak bocor alus perlu sinau lagi,netral
104,104,104,lutfi representasi siapa golkar tim bocor alus perlu sinau lagi,netral
105,105,105,nyungsepppp jokowi dilawan,netral
106,106,106,pembahasan tentang kerajaan jawa sedang bertandang ke jakarta untuk menguasai indonesia hidup jawahidup jawa hidup jawa,netral
107,107,107,mulyono  mulyono  sadar umur tamat tdk ada yg tau,netral
108,108,108,mari kita bersatu dukung terus si dul anak betawi dampingi abah jakarta heboh 1 putaran saja yg lain pulang kampung hore hui,netral
109,109,109,begini gini yg buat indonesia bisa pecah bela  buat negara baru urus dulu papau  ini sdh dlm pangkuan nkri sibuk dulu urus papua  sdh dpt 2 priode beium bersukur  juga  masah allah  ingat hisab akan kalian dpt bro,netral
110,110,110,tempo kapan bahas pns semarang yg dibunuh beberapa taun lalu,netral
111,111,111,yang menentukan menang dan kalah adalah rakyat bukan pengamat2 politik broo,netral
112,112,112,gila si anggit ini mainnya bawah tanah dah kayak agen kayaknya hidupnya seru banget,netral
113,113,113,quote 1 saja sebagai bahan renungan kita bersamadi dalam pasal 71 ayat 1 undang undang nomor 10 tahun 2016 tentang pilkadamenyatakan bahwa pejabat negara pejabat daerah pejabat aparatur sipil negara anggota tnipolri dan kepala desa atau sebutan lain lurah dilarang membuat keputusan danatau tindakan yang menguntungkan atau merugikan salah satu pasangan calon pelanggaran atas ketentuan tersebut akan dikenai sanksi pidana,netral
114,114,114,parcok mengerikan,netral
115,115,115,selama prabs masih dibawah ketiak mulyono nipunegoro  maka semuanya bisa diutakatiktul gak,netral
116,116,116,ternyata suara bs dibeli pemilu bisa diatur asal logistik duit adangapain ada demokrasi diindonesia ya,netral
117,117,117,jokowi mau bersekutu sama siapa kek kalau aniesahok bersatu abis kalah suara jokowi bahkan seindonesia gue yakin,netral
118,118,118,karna jakarta tau mana yg berkualitas mana yg pencitraan klo tempat2 lain wajar bela2in dukung jokowi soalnya cuma tau pencitraanya aja baek2 aslinya busuk bgt,netral
119,119,119,astofirulloallazim saya suka opo sisi tp dr mana opo sisi itu brasal tp saya heran opo sisi itu g punya etika stla pak jokowi purna tugas wah aslinya kluar klo panggil jokowi aja g punya pendidikan apa lg kesopanan siapa mreka ini,netral
120,120,120,apapun nanti tetap abah ,netral
121,121,121,bacot doang ,netral
122,122,122,wp wc pinggir jalan,netral
123,123,123,pak mantan yg paling sibuk di saat pensiun padahal diem momong cucu sj jauh lebih bahagia ga kekurangan apa2 juga artinya ini mmg kamaruk,netral
124,124,124,pks terjebak oleh jebakan yg direncanakan kelompok oligarki oligarki berhasil pecah minimal jadi dua kubu pendukung arb karena ua madih nanam orang nya di dua kubu yg seakan diberseberangkan kimplus dan pedeipeh ,negatif
125,125,125,rk belum menjabat aja udah keliatan sombongnya pendukung cuma 10 org dia gak mau dateng dongg karna cuma dikit,netral
126,126,126,keren neh nara sumber ternyata mereka mengejar dunia dengan sebegitunya padahal jabatan itu akan disesali saat di akherat bila menjadi amanah  ternyata keluarga bejad itu masih punya tangan,netral
127,127,127,2029  anies  ahok  capres cawapres nya,netral
128,128,128,kasian ya pks duit ga punya punya loyalitas tapi valuenya sekarang ga ada eh ditinggal banyak pemilihnya,netral
129,129,129,jurnalis         garis lurus      maju terus,netral
130,130,130,jurnalisme hebat,netral
131,131,131,pak prabowo dan pak jokowi  kurang lebih  pagi ngomong a sore  ngomong b  maap emang ahlak aga kurang,netral
132,132,132,gempur habis cawe2 jokowi  jakarta bukan jateng partai coklat,netral
133,133,133,ada apa dengan petinggi wereng dengan jokopetinggi dapat ratusan milyar serdadu patuh untuk diadu dengan anak ibu,netral
134,134,134,semoga pdip menepati janjinya kpd pak anies,netral
135,135,135,ini kayanya kurang bisa memajukan negara kita mengadi majukarena apa sampai sekarang ternyata tidak berani melawan penguasa dan kroni kroninya,netral
136,136,136,jakawi  tetap  jadi panutan masarakat biarpun udah pensiun,netral
137,137,137,semoga podcast bisa omon2,netral
138,138,138,mulai lah antara kgb melawan cia saling intel,netral
139,139,139,mudah2an usaha yohanes anis bisa digembleng lagi oleh pdip,netral
140,140,140,koruptor 2 yang ada nasdem pdip pan akan diciduk segera,netral
141,141,141,dipastikan 2 putaran pasti menang ridwan kamil,netral
142,142,142,kalian bertiga diawasi wiwi wowo,netral
143,143,143,10 tahun pak prabowo gibran sukses dan dapat diteruskan,netral
144,144,144,kalian ini sama dengan antek asing mau hantam bangsa indonesia,netral
145,145,145,hati2 kalian semuanya harus dibalas dengan bangsa indonesia,netral
146,146,146,lawan mulyono jilid 3,netral
147,147,147,kami pilih 02 karna di situ ada wakilnya yang kami sukaihanya itu ,netral
148,148,148,ada yg tau inisial pejabat jakarta yg dipanggil jokowi waktu mau dukung pram,netral
149,149,149,oh parcok parcok,netral
150,150,150,jokowi prabowo fpi vs anies,netral
151,151,151,ada yg lihat tim senyap andika ,netral
152,152,152,tahun 2029 presiden nya gibran wakli nya bobby  gubernur dki kaisang ,netral
153,153,153,mas mul mas mul,netral
154,154,154,gile banget yee yg dulunya framing anti banteng sekarang berbalik jd anti mulyono dinamis banget politik negri wakanda seru wkwk,netral
155,155,155,jokowi maunya selalu 58 seperti dicapres yang lalu dan biasa yang mau dipakai cara dari dunia lain yah kan ,netral
156,156,156,coba adakan acara debat antara jokowi vs anis pake bhs inggris dan ditayangkan tv nasional lumayan bikin penonton terbahak bahak lihat tampang mulyono yg calon sekjen pbb,netral
157,157,157,kali ini bocor alus jadi bocor ambyarrr,netral
158,158,158,ini jakarta wiwi pada melek tekhnologi udh ga mempan lagi serangan fajar cm 100  200 rb sih klo  rmh 1 milyar sih ga tau juga ,netral
159,159,159,sabarlah kawan yg zolim pasti musnah,netral
160,160,160,kelihatan gak sekolah nya mulyono  bs berhitung ngak,netral
161,161,161,itulah pinternya jkwmain 2 kaki kalai pram menang jkwseakan2 ikut bantu pramono,netral
162,162,162,yang komen anak abah semua wkwkwk siap2 abahnya kena ciduk nih wkwkk,netral
163,163,163,bang pram kurang guanteng setelah rambut dipotong,netral
164,164,164,saya yakin nanti sijoko ini akan kena kutukan dari perbuatannya,netral
165,165,165,jokowi memang jahat sama abah anis baswedan,netral
166,166,166,hahahhaha kerennn,netral
167,167,167,aneh sekali ya bukankah jkw sudah tidak lagi menjadi presiden ri mengapa ikut campur urusan pilkada walaupun dia masih menjabat presiden juga tidak boleh mencampuri urusan pilkada karena kita dilarang dalam undangundang termasuk uu pemilu yakni jujur adil langsung bebas dan rahasia,netral
168,168,168,ini bisa jadi bukti buat orang jateng klo jokowi itu orangnya kayak gmna tp sayangnya orang jateng sudah terbansos oleh jokowi tanpa mikir baik buruknya kedepan miris,netral
169,169,169,besok klo ada pilihan lurah hubungi jokowi aja biar menang ,netral
170,170,170,sok tahu isi hat orang bro3,netral
171,171,171,seriusnanya kalo presiden melanggar undangundang itu gapapa ya,netral
172,172,172, niat kim menggembosi anies berhasil lewat loby partai politik dan dengan menggaet suswonopks sbg wakil rkmau tidak mau pks meninggalkan anies karna koalisi yg juga kurang solid secara politishal tersebut membuat pendukung anies dan pks menjadi semakin muak karna pks gabung ke pihak kimditambah suara pdip di jakarta yg besar dan suara pksanies yg lumayan besar suaranya di jakarta membuat dukungannya ke bang doelbanyak yang kecewa oleh pks khususnya pks jakartafaktor kenaikan suara mas prampemilih pdip jakarta besarfans ahokfans anieskekecewaan kader dan simpatisan pks jakarta terhadap partainya dan koalisi kimfaktor bang doel yg juga lebih lekat dengan jakarta,netral
173,173,173,jangan kasih peluang untuk anak mulyono jd presiden bisa bahaya,netral
174,174,174,menurut saya ada 3 tujuan abah anies mendukung pramonorano pertama memberi pembelajaran kepada ketum pdip megawati bagaimana cara berpolitik dan berdemokrasi yg santun dan bermartabat kedua melalui pramonorano visi misi dan program abah anies bisa terealisasi terutama untuk menyelamatkan warga kampung bayam dan warga lainnya yang saat dkj dijabat oleh penggantinya program anies kandas disinilah anies mampu menunjukkan sikap keteladanan bagi semua termasuk anak2 abah yg awalnya merasa dikhianatiyang ketiga ketika mulyono tetap cawe2 dalam pilgub di dkj maupun ditempat lainnya disini anies ingin menunjukkan kekuatan dukungan warga jakarta kepadanya semoga perjuangan abah anies untuk warga jakarta dapat terwujud dgn terpilihnya parmonobang dul satu putaraninsyaalloh abah anies masih calon yg terbaik untuk pilpres tahun 2029 nanti,netral
175,175,175,tempo mau lawan jokowi malu lu lu dasar barisan nyinyir,netral
176,176,176,ikut abah,netral
177,177,177,kalo sistemnya begini terus ya enak aja dstir pengusaha pemimpin dan anggota partai,netral
178,178,178,jangan sesumbar mau lawan jokowi nanti pasti malu,netral
179,179,179,jurnalis bernyawa ganda,netral
180,180,180,sangat luarbiasa memang jokowi sudah hilang rasa nya,netral
181,181,181,ini pernyataan tentang jokowi  komentar gaya rk yang kurang luwes sama persis sperti pernyataan ipang wahid di podcast akbar faizal bener2 sama persis apakah dari sumber yang sama ,netral
182,182,182,pdi bantengnya kurang tenaga di berapa daerah hanya sisa di dki itupun ada dukungan anak abah,netral
183,183,183,heleh nyatane menang jokowi di jateng,netral
184,184,184,tahun ini demokrasi di acak acak mulyono ga malu sama yg sudah reformasi yg telah diperjuangkan oleh mega amin rais ricky v gerung dan aktivis lainya ga tau malu mulyono ,netral
185,185,185,kumpulan pengangguran  tdk berguna,netral
186,186,186,itulah politik sein kiri belok kanan apalagi didukung dengan bansos,netral
187,187,187,rk tidak cocok ditempat di jakarta tapi cocok u mentri,netral
188,188,188,untuk apa menang kalau tidak bermanfaat kepemimpinan seseorang yang ambisius hari gini masih berada dalam keributan ambisi pribadi dan golongan rakyatnya kebagian apa cuma diberi kewajiban sementara haknya diabaikan ,netral
189,189,189,berati kemenangan pram afa campur tgn jokowi,netral
190,190,190,kapan selesainya dan mulai menata negara maju jangan cuma ngurusin jabatan dan periodenya lebih baik melakukan hal yang manfaat untuk kemakmuran bangsa dan negara rakyat sejahtera yang berkeadilan siapapun pemimpinnya pasti dicintai rakyatnya dengan tulus,netral
191,191,191,terbukti kata kata pak anies diikuti rakyat,netral
192,192,192,kasian rk tenggelam di jakarta semuanya gara2 masuk golkar,netral
193,193,193,cuek banget walaupun ngak di cintai,netral
194,194,194,banteng kalah lgi bos di kandangnya awokkkkk  membenci orang yg salah hidup jokowii ,netral
195,195,195,hikmah dr semua inipak jokowi presiden pemersatu partai tertua dan pecahannya yg berjiwa nasionalisme dan patriotisme tuk nkri tercinta mewujudkan citacita pjuang kemerdekaan dan nasional dr jiwa pemuda 1928  bagaimanapun pak sukarno dan pak suharto presiden indonesia terpilih,netral
196,196,196,semoga host2 bocor alus bisa netral membahas politik indonesia,netral
197,197,197,jujur kecewa sama keputusan pa prabowo yg di jawa tengah jd sekarang mulai gamau percaya sama pejabat manapun termasuk presiden,netral
198,198,198,emang salah satu utk menampilkan anis ya membenturkan dgn jokowi padahal tujuannya ya ingin meminjam nama jokowi kak kak kak  klu tdk siaoa yg mau baca dan dengar berita anis kaaaaak kak kak,netral
199,199,199,yg terbaik ttp jokowi dan jarak antara jokowi dan anis itu ibarat tape dan awan,netral
200,200,200,jokowi cawe cawe engga ngaruhdah,netral
201,201,201,kita pendukung ahok tunggal,netral
202,202,202,kenapa belok kanan ggk kasih lampu sign karena mulyono kurang adab,netral
203,203,203,saya dukung pa prabowo tapi ga mau dukung rk ,netral
204,204,204,faktor uang g pernah disebutrakyat jkt pintar pintar berati,netral
205,205,205,tempopintardapatimformasinya akuratdebesttttempo,netral
206,206,206,bukan hanya mantan presiden tetapi prabowo juga sama saja dnanyasama,netral
207,207,207,mulyonotakutsamaanis,netral
208,208,208,hanya anies yang bisa melawan ambisinya mulyono,netral
209,209,209,panis dan ptom lembong klo jd di sandingkn 2029kombo bgt sih,netral
210,210,210,jokowi ke jkt ambil sisa bajunya di bogor brosantai aj,netral
211,211,211,para barisan sakit hati,netral
212,212,212,mulyono adalah maut,netral
213,213,213,gue ada proposal taun baruan ada yg mo bantu gak ya wkwkwkwk,netral
214,214,214,politik uang,netral
215,215,215,omon omon semua  yg jelas rakyat cuma jd korban,netral
216,216,216,begitu jahat dan busuk hati jokowi iniorang sebaik pak aniies dimusuin terus padahal klau ingat masa sebelum jokowi jadi presiden pak anies salah satu yg mrnjadi tim suksesnya,netral
217,217,217,pramono anum 2029 ks kesempatan anis apa pdip bs d percaya megawati aja suka penghianat anis makaanya  karma pdip d khianati jokowipak anis dn ank abah hrs waspada,netral
218,218,218,pasti sakit hati ni kalau mendengar hasil pilkada sementara,netral
219,219,219,siapapun yg terpilih di dki mulyono sebenarnya akan senang karena kartu mati mereka sudah di pegang mulyono jadi tinggal baku atur saja nantitujuannya supaya tidak bakal ada kotak kosong pemilih anies harus dipaksa memilihdengan hasil pilkada saat ini sebenarnya membuktikan khusus nya dki gabungan partai besar kim plus dan aspek jokowi sebenarnya kalah telak dengan seorang karisma anies baswedanini juga membuktikan masyarakat intelektual berbuat berdasarkan nurainikekuasaan tetap menjadi pemenangnya  karena mereka yg punya banyak resource dgn segala cara bansos intimidasi dll jika ini jadi lanjut 2 putaran bisa saja berubahtapi lihat apakah deal dealnya sesuai maka tidak perlu 2 putaran,netral
220,220,220,lebih tepat analisis jokowi di sebelah disini masih banyak salahnya jadi masih percaya,netral
221,221,221,hehheehe tempo sekarang corongnya abud mania ya masih sakit hati nih proposal gak nembus sudah lah biarkan orang pensiun nikmati masa tua dengan anak2 nya yg sukses wkwkwkwk btw buat proposal ke om wowo ya tapi hina trus dong pemerintah sekarang biar ada dampak pemolesan biar kinclong,netral
222,222,222,anis itu sapa,netral
223,223,223,hm,netral
224,224,224,yang menang akhirnya jokowi dan gerinda nya prabowojawa dan sumut di kuasai hanya dki yg dilepas ,netral
225,225,225,pemilih jateng sungguh why,netral
226,226,226,jakarta berhasil adanya pak anis baswedan,netral
227,227,227,presiden masih tetap bisa di setir sama mantan presiden,netral
228,228,228,tempo ini media nya pdip ya,netral
229,229,229,tempo satusatunya media yang tidak di kooptasi kekuasaan saya bantu tempo dengan membeli produknya supaya terus eksis dengan sikap kritisnya,netral
230,230,230,sepertinya jakarta sdmnya sudah naik,netral
231,231,231,masya allah pak anies baswedan,netral
232,232,232,jokowi itu sangat keterlaluan satu dari mantan presiden yg ngak negarawan rakyat yg cerdas kecewa dengan cara cawecawe dan penuh kecurangan penghianat yg sudah menghianati rakyat via konstitusi,netral
233,233,233,pram rano adalah sosok yg berat untuk kalian lawan mereka berdua punya rekam jejak kinclong intinya rakyat pasti milih sosok bukan milih partai,netral
234,234,234,yg masih pilih dinastipeasrrakah banget nih jawa masih aja pengen ikut2anhadeuh,netral
235,235,235,jokowi avatar indonesia   terbukti menang di pilkada yang di dukung jokowi pasti ada yang malu dgn komentar2 ini,netral
236,236,236,luar biasa  power  presiden ribp prabowobp jokowi,netral
237,237,237,wajar tempo gitu lho,netral
238,238,238,tempo media adu domba dri dulu,netral
239,239,239,abahhhhh  bingung mau cari panggung dimana main lokal selalu di atas gapapa kalo nasional sulitttt,positif
240,240,240,politik yg beginilah  yg merusak angaran ujung2 nya rakyat yg di susah kan dan rak ya kecil tidak sadar akan hal ini,netral
241,241,241,biarpun kita nggak mendukung tetap aja menang karena rakyat bawah banyak yang nggak tahu politik asal yang ngasih sembako dan amplop ya  itu dia  yang  dipilih  maka yang kita  dukung matimatian nggak menang  karena tidak memberi sembako dan amplop  dari dulu curang terus ,netral
242,242,242,musuh terbesar prabowo adalah mulyono bukan megawati bukan anies bukan andika dan lainyakarena nanti prabowo bisa dikriminalisasi oleh mulyono jika tangan2 mulyono masih diberi kekuasaan dg tujuan supaya gibran bisa naik itu prediksi sayamaka hati2 pak prabowo akan jebakan2 batman mulyono,netral
243,243,243,parcooooookkkkkkkkkk,netral
244,244,244,berarti jokowi sudah tidak ada apa2nya pdi p harus introspeksikarena anis sangat kuat masyarakat jakartareal dengan bukti setelah pencoblosanberarti jokowi merusak demokrasi di negeri tercinta ini,netral
245,245,245,artinyafigur msh faktor utamamesin sistem faktor berikutnyapartai faktor buncitpdi jgn kepala besarpks jgn pikr py pendukung diehard buta matarakyat jakarta tge best cukup sekali fikadali gorong,positif
246,246,246,saham tempo makin nyungsep,netral
247,247,247,mulyono ga berani endors rk suswono dia sadar ga punya basis pendukung dijkrta anak abah dan ahokers bersatu kelar si rk,netral
248,248,248,tempo ,netral
249,249,249,dari semua pembahasan ini akhirnya harus mengakui the power of bansos dan serangan fajar,netral
250,250,250,sehat selalu tim bocor alusss  big thanks udh mencerdaskan rakyat,positif
251,251,251,klo bicara politik ga usah bicara netralnetral dlm berpolitik itu hanya mitos,netral
252,252,252,muljono benci sama lawan politik nya yg populer cerdas dan gantenganies tom lembongskrg anda2 bsia paham siapa yg kriminalisasi tomlembong,netral
253,253,253,keprucut mbakkk,netral
254,254,254,semangat bang pram suarakan kebenaran dan tetap obyektif,netral
255,255,255,menit 0439 di edit berarti bahaya tuh pembicaraannya,netral
256,256,256,baru tahun ini ada media yang luar biasa mengemukakan semua hal panjang umur perjuangan,netral
